iter	Logloss	Accuracy
0	0.6862829997	0.8121484814
1	0.6809444134	0.8087739033
2	0.6751692192	0.811023622
3	0.6689060433	0.8132733408
4	0.663214412	0.8121484814
5	0.6576488286	0.811023622
6	0.654444094	0.8143982002
7	0.649063509	0.8143982002
8	0.6443240788	0.8143982002
9	0.639593472	0.8155230596
10	0.634518553	0.8155230596
11	0.630531624	0.8143982002
12	0.6275610437	0.8132733408
13	0.6225019893	0.8143982002
14	0.6179502868	0.8177727784
15	0.6140480312	0.8177727784
16	0.6100033955	0.8188976378
17	0.6049646427	0.8177727784
18	0.6025760117	0.816647919
19	0.5998630036	0.8132733408
20	0.5958216745	0.8132733408
21	0.591410594	0.8132733408
22	0.5876738502	0.8155230596
23	0.5844864306	0.8143982002
24	0.5807646341	0.816647919
25	0.5771272159	0.816647919
26	0.5728543458	0.816647919
27	0.569899682	0.816647919
28	0.5662607706	0.8177727784
29	0.563420135	0.816647919
30	0.5606398073	0.8177727784
31	0.5589070641	0.8177727784
32	0.5555976399	0.816647919
33	0.5527465299	0.816647919
34	0.5502509393	0.816647919
35	0.5474224825	0.816647919
36	0.5449661546	0.816647919
37	0.5419375138	0.816647919
38	0.5389497138	0.816647919
39	0.537036138	0.816647919
40	0.5345431607	0.816647919
41	0.5318468307	0.8177727784
42	0.528708944	0.8177727784
43	0.5266516564	0.8177727784
44	0.5250387505	0.8177727784
45	0.5234471816	0.8177727784
46	0.5211118487	0.8177727784
47	0.5186236424	0.8188976378
48	0.5174240004	0.8188976378
49	0.5153829936	0.8188976378
50	0.5136875693	0.8188976378
51	0.5117623129	0.8188976378
52	0.5107220729	0.8188976378
53	0.5081770771	0.8188976378
54	0.506921233	0.8188976378
55	0.505575494	0.8188976378
56	0.5038307015	0.8200224972
57	0.5027957823	0.8188976378
58	0.5013980864	0.8188976378
59	0.499690041	0.8200224972
60	0.4979647501	0.8200224972
61	0.4964338188	0.8200224972
62	0.4950122112	0.8200224972
63	0.493615908	0.8200224972
64	0.4925482843	0.8200224972
65	0.4904981447	0.8188976378
66	0.4894553724	0.8188976378
67	0.4887259378	0.8188976378
68	0.4868577111	0.8200224972
69	0.4856525028	0.8188976378
70	0.4844220989	0.8188976378
71	0.4833107979	0.8188976378
72	0.4820151758	0.8188976378
73	0.4809680893	0.8188976378
74	0.4796902938	0.8188976378
75	0.4784984969	0.8188976378
76	0.4765209314	0.8188976378
77	0.4752912022	0.8188976378
78	0.4736698187	0.8188976378
79	0.4731221498	0.8188976378
80	0.4725858809	0.8188976378
81	0.471373574	0.8188976378
82	0.4701810971	0.8188976378
83	0.468394212	0.8188976378
84	0.467338762	0.8188976378
85	0.4663532922	0.8177727784
86	0.4648838079	0.8177727784
87	0.4634498758	0.8177727784
88	0.4621939963	0.8188976378
89	0.4612193179	0.8177727784
90	0.4607997731	0.8177727784
91	0.4602730621	0.8177727784
92	0.4596308682	0.8177727784
93	0.4589702757	0.8177727784
94	0.4582646737	0.816647919
95	0.4567502826	0.8177727784
96	0.4561099266	0.816647919
97	0.4553858577	0.8177727784
98	0.454319953	0.8177727784
99	0.4533588663	0.8177727784
100	0.4525700114	0.8188976378
101	0.4522112887	0.8188976378
102	0.4515743638	0.8188976378
103	0.4507656279	0.8188976378
104	0.4496655763	0.8188976378
105	0.4493023575	0.8188976378
106	0.4489219595	0.8188976378
107	0.4484150199	0.8188976378
108	0.4477069574	0.8188976378
109	0.4470392042	0.8188976378
110	0.4460393532	0.8188976378
111	0.4456196772	0.8188976378
112	0.4450435906	0.8188976378
113	0.4443097805	0.8188976378
114	0.4436594323	0.8188976378
115	0.4430323397	0.8188976378
116	0.4425667882	0.8188976378
117	0.4420570709	0.8188976378
118	0.4415627082	0.8188976378
119	0.4409795998	0.8188976378
120	0.4409304366	0.8188976378
121	0.4404749027	0.8188976378
122	0.4401158111	0.8177727784
123	0.4394214207	0.8188976378
124	0.4390911562	0.8188976378
125	0.4385736272	0.8188976378
126	0.4376314401	0.8200224972
127	0.4374418555	0.8200224972
128	0.43678346	0.8200224972
129	0.4367425938	0.8200224972
130	0.4361966153	0.8200224972
131	0.4351844575	0.8200224972
132	0.4347795778	0.8200224972
133	0.4344971856	0.8200224972
134	0.4341237721	0.8200224972
135	0.4336962481	0.8200224972
136	0.4334183291	0.8200224972
137	0.4330321887	0.8200224972
138	0.4328820415	0.8200224972
139	0.4322122669	0.8200224972
140	0.4320459429	0.8200224972
141	0.4313132803	0.8200224972
142	0.4306863932	0.8200224972
143	0.4298502487	0.8200224972
144	0.429563496	0.8200224972
145	0.4291401416	0.8211473566
146	0.4290026936	0.8211473566
147	0.428713944	0.8211473566
148	0.4284865436	0.8211473566
149	0.4282427777	0.8211473566
150	0.4277638344	0.8211473566
151	0.4272183597	0.8211473566
152	0.4268385623	0.8211473566
153	0.4262415494	0.8211473566
154	0.4260480447	0.8211473566
155	0.4254953759	0.8211473566
156	0.4252336952	0.822272216
157	0.4251245965	0.8211473566
158	0.4248393174	0.822272216
159	0.4245472109	0.822272216
160	0.424306681	0.822272216
161	0.4240101133	0.822272216
162	0.4236345392	0.822272216
163	0.4234395971	0.822272216
164	0.4228925767	0.8233970754
165	0.4227463123	0.8233970754
166	0.4226186221	0.8233970754
167	0.4222141005	0.8233970754
168	0.4219365681	0.8233970754
169	0.4216244964	0.8233970754
170	0.4213899779	0.8233970754
171	0.4210836173	0.8245219348
172	0.4208199202	0.8256467942
173	0.4206420891	0.8256467942
174	0.4201114201	0.8267716535
175	0.4198212392	0.8256467942
176	0.4195833582	0.8256467942
177	0.4195684713	0.8256467942
178	0.4194809426	0.8256467942
179	0.4191368102	0.8256467942
180	0.4185960272	0.8256467942
181	0.4184558623	0.8256467942
182	0.4180541653	0.8256467942
183	0.4178579095	0.8256467942
184	0.4175684234	0.8256467942
185	0.4173355631	0.8256467942
186	0.416964052	0.8256467942
187	0.4165339846	0.8256467942
188	0.4162489281	0.8256467942
189	0.4160226858	0.8256467942
190	0.4156772984	0.8256467942
191	0.4153905729	0.8256467942
192	0.4151181488	0.8256467942
193	0.4149057781	0.8256467942
194	0.4147785286	0.8256467942
195	0.4145078033	0.8256467942
196	0.4142289806	0.8256467942
197	0.4138731385	0.8256467942
198	0.413652515	0.8256467942
199	0.4134202659	0.8256467942
200	0.4132429324	0.8256467942
201	0.4131386885	0.8256467942
202	0.4128981307	0.8278965129
203	0.4127999366	0.8278965129
204	0.4123861657	0.8278965129
205	0.4122839555	0.8278965129
206	0.411779376	0.8290213723
207	0.4116196546	0.8290213723
208	0.4114564804	0.8278965129
209	0.4111432696	0.8278965129
210	0.4106762879	0.8290213723
211	0.4106690881	0.8290213723
